resource_id	category	status	declared_license	declared_tier	inferred_license	inferred_tier	inferred_from	unresolved_sources
dbpedia	KnowledgeGraph	inferred			http://creativecommons.org/licenses/by-sa/4.0/	copyleft	wikipedia	
digcfdekg	KnowledgeGraph	inferred			https://www.gtexportal.org/home/license	custom	gtex	bridge2ai|impc|lincs|mw|sennet
diseases	Aggregator	no-upstream	https://creativecommons.org/licenses/by/4.0/	permissive				
dorothea	KnowledgeGraph	conflict	https://github.com/saezlab/dorothea/blob/master/LICENSE	copyleft	https://www.gtexportal.org/home/license	custom	gtex	oreganno|tfacts|tred
dreamkg	KnowledgeGraph	unresolved						
drkg	KnowledgeGraph	inferred			https://go.drugbank.com/legal/terms_of_use	non-commercial	drugbank	
drug-approvals-kp	KnowledgeGraph	inferred			https://hpo.jax.org/app/license	no derivatives	hp	
drugmechdb	KnowledgeGraph	conflict	https://creativecommons.org/publicdomain/zero/1.0/	public domain	https://hpo.jax.org/app/license	no derivatives	hp	
ebrains	KnowledgeGraph	no-upstream						
eco-kg	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive	https://creativecommons.org/licenses/by/4.0/	permissive	eol-traitbank|expressionatlas|go|po|to	maizegdb|planteome|rapdb
ekg	KnowledgeGraph	declared	https://creativecommons.org/licenses/by/4.0/	permissive				
embiology	KnowledgeGraph	no-upstream	https://www.elsevier.com/legal/elsevier-website-terms-and-conditions	custom				
emeraldgraph	KnowledgeGraph	declared	https://www.apache.org/licenses/LICENSE-2.0	permissive				
emikg	KnowledgeGraph	conflict	https://creativecommons.org/publicdomain/zero/1.0/	public domain	https://creativecommons.org/licenses/by/4.0/	permissive	globi|try	
enrichr-kg	KnowledgeGraph	conflict	https://creativecommons.org/licenses/by/4.0/	permissive	https://depmap.org/portal/terms/	custom	achilles|depmap|disgenet|gtex|kegg|kg-jensenlab-diseases	lincs
entrez	Aggregator	no-upstream						
epigraphdb	KnowledgeGraph	declared	https://github.com/MRCIEU/epigraphdb	custom	https://www.gtexportal.org/home/license	custom	gtex|semmeddb|ukbiobank	eqtlgen|mrbase
era-kg	KnowledgeGraph	no-upstream	https://creativecommons.org/licenses/by/4.0/	permissive				
